rank,keyword,url,cluster,volume,page_type,brand_or_game_specific,user_problem
1,"word unscrambler","/word-unscrambler/","unscramble-scramble",1220000,"core_or_high_priority_tool",false,"The user has scrambled letters and needs words that can be made from them."
2,"unscramble words","/unscramble-words/","unscramble-scramble",1220000,"core_or_high_priority_tool",false,"The user has scrambled letters and needs words that can be made from them."
3,"unscramble","/unscramble/","unscramble-scramble",1000000,"core_or_high_priority_tool",false,"The user has scrambled letters and needs words that can be made from them."
4,"scrabble word finder","/scrabble-word-finder/","scrabble",1000000,"core_or_high_priority_tool",true,"The user has a rack of tiles and needs a valid scoring word."
5,"word finder","/word-finder/","word-finder",550000,"core_or_high_priority_tool",false,"The user has letters or word constraints and needs matching English words quickly."
6,"wordle solver","/wordle-solver/","wordle-letter-patterns",450000,"core_or_high_priority_tool",true,"The user has green, yellow, and gray letters and needs possible next guesses."
7,"unscramble letters","/unscramble-letters/","unscramble-scramble",368000,"core_or_high_priority_tool",false,"The user has scrambled letters and needs words that can be made from them."
8,"anagram solver","/anagram-solver/","anagram",246000,"core_or_high_priority_tool",false,"The user has letters, a word, name, or phrase and wants valid rearrangements."
9,"crossword solver","/crossword-solver/","crossword",135000,"core_or_high_priority_tool",false,"The user has a clue, length, and some known letters and needs possible answers."
10,"jumble solver","/jumble-solver/","unscramble-scramble",110000,"core_or_high_priority_tool",false,"The user has a Jumble puzzle and needs likely answers from scrambled letters."
11,"word scramble","/word-scramble/","unscramble-scramble",246000,"core_or_high_priority_tool",false,"The user has scrambled letters and needs words that can be made from them."
12,"word unscramble","/word-unscramble/","unscramble-scramble",246000,"core_or_high_priority_tool",false,"The user has scrambled letters and needs words that can be made from them."
13,"words with letters","/words-with-letters/","word-finder",246000,"core_or_high_priority_tool",false,"The user has letters or word constraints and needs matching English words quickly."
14,"5 letter word finder","/5-letter-word-finder/","wordle-letter-patterns",201000,"core_or_high_priority_tool",false,"The user needs a five-letter word that fits known letters or excluded letters."
15,"wordle helper","/wordle-helper/","wordle-letter-patterns",165000,"core_or_high_priority_tool",true,"The user has green, yellow, and gray letters and needs possible next guesses."
16,"anagram","/anagram/","anagram",165000,"support",false,"The user has letters, a word, name, or phrase and wants valid rearrangements."
17,"word search solver","/word-search-solver/","word-search",18100,"tool_or_support_tool",false,"The user cannot find words in a letter grid and wants the hidden path highlighted."
18,"word scrambler","/word-scrambler/","unscramble-scramble",90500,"support",false,"The user has scrambled letters and needs words that can be made from them."
19,"wordle finder","/wordle-finder/","wordle-letter-patterns",90500,"tool_or_support_tool",true,"The user has green, yellow, and gray letters and needs possible next guesses."
20,"word cheat","/word-cheat/","word-finder",74000,"tool_or_support_tool",false,"The user has letters or word constraints and needs matching English words quickly."
21,"words with these letters","/words-with-these-letters/","word-finder",74000,"tool_or_support_tool",false,"The user has letters or word constraints and needs matching English words quickly."
22,"scramble words","/scramble-words/","unscramble-scramble",60500,"tool_or_support_tool",false,"The user has scrambled letters and needs words that can be made from them."
