rank,cluster,keyword,volume,cpc,competition,results,p0_cluster_fit,page_type,brand_or_game_specific,notes
1,"word-game-solver-tools","word unscrambler",1220000,0.01,0,5940000,"P0","core_tool_or_high_priority_tool",false,"Non-brand or generic action intent."
2,"word-game-solver-tools","unscramble words",1220000,0.01,0,18200000,"P0","core_tool_or_high_priority_tool",false,"Non-brand or generic action intent."
3,"word-game-solver-tools","unscramble",1000000,0.01,0,18000000,"P0","core_tool_or_high_priority_tool",false,"Non-brand or generic action intent."
4,"word-game-solver-tools","scrabble word finder",1000000,0,0,33600000,"P0","core_tool_or_high_priority_tool",true,"Use carefully as game-specific support/solver intent, not generic brand navigation."
5,"word-game-solver-tools","word finder",550000,1.16,0,2390000,"P0","core_tool_or_high_priority_tool",false,"Non-brand or generic action intent."
6,"word-game-solver-tools","wordle solver",450000,0.01,0,36500000,"P0","core_tool_or_high_priority_tool",true,"Use carefully as game-specific support/solver intent, not generic brand navigation."
7,"word-game-solver-tools","unscramble letters",368000,0.01,0.01,16500000,"P0","core_tool_or_high_priority_tool",false,"Non-brand or generic action intent."
8,"word-game-solver-tools","anagram solver",246000,1.23,0,6900000,"P0","core_tool_or_high_priority_tool",false,"Non-brand or generic action intent."
9,"word-game-solver-tools","crossword solver",135000,0.84,0,13300000,"P0","core_tool_or_high_priority_tool",false,"Non-brand or generic action intent."
10,"word-game-solver-tools","jumble solver",110000,0,0,105,"P0","core_tool_or_high_priority_tool",false,"Non-brand or generic action intent."
11,"word-game-solver-tools","word scramble",246000,0.47,0,55000000,"P0","core_tool_or_high_priority_tool",false,"Non-brand or generic action intent."
12,"word-game-solver-tools","word unscramble",246000,0.01,0,14000000,"P0","core_tool_or_high_priority_tool",false,"Non-brand or generic action intent."
13,"word-game-solver-tools","words with letters",246000,0.01,0,677000000,"P0","core_tool_or_high_priority_tool",false,"Non-brand or generic action intent."
14,"word-game-solver-tools","5 letter word finder",201000,0,0,1290000000,"P0","core_tool_or_high_priority_tool",false,"Non-brand or generic action intent."
15,"word-game-solver-tools","wordle helper",165000,0.01,0,14800000,"P0","core_tool_or_high_priority_tool",true,"Use carefully as game-specific support/solver intent, not generic brand navigation."
16,"word-game-solver-tools","anagram",165000,0.51,0,36700000,"P0","support_or_variant_tool",false,"Non-brand or generic action intent."
17,"word-game-solver-tools","word search solver",18100,1.13,0.01,57600000,"P0","support_or_variant_tool",false,"Non-brand or generic action intent."
18,"word-game-solver-tools","word scrambler",90500,0.47,0,10600000,"P0","support_or_variant_tool",false,"Non-brand or generic action intent."
19,"word-game-solver-tools","wordle finder",90500,0,0,20200000,"P0","support_or_variant_tool",true,"Use carefully as game-specific support/solver intent, not generic brand navigation."
20,"word-game-solver-tools","word cheat",74000,0,0,115,"P0","support_or_variant_tool",false,"Non-brand or generic action intent."
21,"word-game-solver-tools","words with these letters",74000,0.03,0,661000000,"P0","support_or_variant_tool",false,"Non-brand or generic action intent."
22,"word-game-solver-tools","scramble words",60500,0.01,0.01,51500000,"P0","support_or_variant_tool",false,"Non-brand or generic action intent."
23,"word-game-solver-tools","wordle cheat",60500,0.02,0,21000000,"P0","support_or_variant_tool",true,"Use carefully as game-specific support/solver intent, not generic brand navigation."
24,"word-game-solver-tools","word generator from letters",12100,0.02,0,206000000,"P0","support_or_variant_tool",false,"Non-brand or generic action intent."
25,"word-game-solver-tools","word scramble solver",33100,0.01,0.01,3070000,"P0","support_or_variant_tool",false,"Non-brand or generic action intent."
26,"word-game-solver-tools","word solver",40500,0,0,58900000,"P0","support_or_variant_tool",false,"Non-brand or generic action intent."
27,"word-game-solver-tools","letter solver",8100,0,0,115,"P0","support_or_variant_tool",false,"Non-brand or generic action intent."
28,"word-game-solver-tools","word descrambler",49500,0.01,0.01,108,"P0","support_or_variant_tool",false,"Non-brand or generic action intent."
29,"word-game-solver-tools","scrabble cheat",550000,0,0,10100000,"P0","support_or_variant_tool",true,"Use carefully as game-specific support/solver intent, not generic brand navigation."
30,"word-game-solver-tools","words with friends cheat",673000,0.03,0,122000000,"P0","support_or_variant_tool",true,"Use carefully as game-specific support/solver intent, not generic brand navigation."
31,"word-game-solver-tools","word tips",60500,0,0,180,"P0","support_or_variant_tool",false,"Non-brand or generic action intent."
32,"word-game-solver-tools","5 letter words",550000,0,0,1280000000,"P0","support_or_variant_tool",false,"Non-brand or generic action intent."
33,"word-game-solver-tools","five letter words",201000,0,0,962000000,"P0","support_or_variant_tool",false,"Non-brand or generic action intent."
34,"word-game-solver-tools","five letter word finder",90500,0,0,868000000,"P0","support_or_variant_tool",false,"Non-brand or generic action intent."
35,"word-game-solver-tools","7 letter words",49500,0.02,0,1290000000,"P0","support_or_variant_tool",false,"Non-brand or generic action intent."
36,"word-game-solver-tools","word generator",49500,2.05,0,809000000,"P0","support_or_variant_tool",false,"Non-brand or generic action intent."
37,"word-game-solver-tools","word maker",12100,1.4,0,1420000000,"P0","support_or_variant_tool",false,"Non-brand or generic action intent."
38,"word-game-solver-tools","spelling bee solver",33100,0,0,34000000,"P0","support_or_variant_tool",true,"Use carefully as game-specific support/solver intent, not generic brand navigation."
39,"word-game-solver-tools","spelling bee answers",450000,0,0,33400000,"P0","support_or_variant_tool",true,"Use carefully as game-specific support/solver intent, not generic brand navigation."
40,"word-game-solver-tools","spelling bee buddy",74000,0,0,3660000,"P0","support_or_variant_tool",true,"Use carefully as game-specific support/solver intent, not generic brand navigation."
41,"word-game-solver-tools","nyt spelling bee solver",2400,0,0,2140000,"P0","support_or_variant_tool",true,"Use carefully as game-specific support/solver intent, not generic brand navigation."
42,"word-game-solver-tools","crossword clue solver",3600,0,0,12400000,"P0","support_or_variant_tool",false,"Non-brand or generic action intent."
43,"word-game-solver-tools","crossword puzzle solver",14800,0.88,0.01,61000000,"P0","support_or_variant_tool",false,"Non-brand or generic action intent."
44,"word-game-solver-tools","crossword help",14800,1,0,145000000,"P0","support_or_variant_tool",false,"Non-brand or generic action intent."
45,"word-game-solver-tools","anagram generator",33100,0,0,3770000,"P0","support_or_variant_tool",false,"Non-brand or generic action intent."
46,"word-game-solver-tools","anagram maker",8100,0,0,3930000,"P0","support_or_variant_tool",false,"Non-brand or generic action intent."
47,"word-game-solver-tools","boggle solver",1900,0,0,3700000,"P0","support_or_variant_tool",false,"Non-brand or generic action intent."
48,"word-game-solver-tools","cryptogram solver",3600,1.13,0,127,"P0","support_or_variant_tool",false,"Non-brand or generic action intent."
49,"word-game-solver-tools","letter box solver",1600,0,0,164,"P0","support_or_variant_tool",false,"Non-brand or generic action intent."
50,"word-game-solver-tools","word ladder solver",1600,0,0,1210000,"P0","support_or_variant_tool",false,"Non-brand or generic action intent."
